股票代码,名称,权重,类别,编号
600548.ss,深高速,0.03,300工业,3
600597.ss,光明乳业,0.04,300消费,8
600874.ss,创业环保,0.04,300工业,3
601005.ss,重庆钢铁,0.04,300材料,1
000543.sz,皖能电力,0.05,300公用,4
002194.sz,武汉凡谷,0.05,300电信,2
000559.sz,万向钱潮,0.06,300可选,6
000912.sz,泸 天 化,0.06,300材料,1
600017.ss,日照港,0.06,300工业,3
600118.ss,中国卫星,0.06,300工业,3
600270.ss,外运发展,0.06,300工业,3
600299.ss,蓝星新材,0.06,300材料,1
600380.ss,健康元,0.06,300医药,10
000822.sz,山东海化,0.07,300材料,1
000927.sz,一汽夏利,0.07,300可选,6
002269.sz,美邦服饰,0.07,300可选,6
600006.ss,东风汽车,0.07,300可选,6
600151.ss,航天机电,0.07,300信息,9
600176.ss,中国玻纤,0.07,300材料,1
600221.ss,海南航空,0.07,300工业,3
600308.ss,华泰股份,0.07,300材料,1
600316.ss,洪都航空,0.07,300工业,3
600549.ss,厦门钨业,0.07,300材料,1
600595.ss,中孚实业,0.07,300材料,1
600639.ss,浦东金桥,0.07,300金融,5
600685.ss,广船国际,0.07,300工业,3
600809.ss,山西汾酒,0.07,300消费,8
000612.sz,焦作万方,0.08,300材料,1
000793.sz,华闻传媒,0.08,300可选,6
000876.sz,新 希 望,0.08,300消费,8
000951.sz,中国重汽,0.08,300工业,3
002242.sz,九阳股份,0.08,300可选,6
600033.ss,福建高速,0.08,300工业,3
600183.ss,生益科技,0.08,300信息,9
600282.ss,南钢股份,0.08,300材料,1
600350.ss,山东高速,0.08,300工业,3
600376.ss,首开股份,0.08,300金融,5
600516.ss,方大炭素,0.08,300材料,1
600616.ss,金枫酒业,0.08,300消费,8
600770.ss,综艺股份,0.08,300信息,9
600782.ss,新钢股份,0.08,300材料,1
000021.sz,长城开发,0.09,300信息,9
000061.sz,农 产 品,0.09,300消费,8
000685.sz,中山公用,0.09,300公用,4
002001.sz,新 和 成,0.09,300医药,10
002038.sz,双鹭药业,0.09,300医药,10
002244.sz,滨江集团,0.09,300金融,5
600004.ss,白云机场,0.09,300工业,3
600027.ss,华电国际,0.09,300公用,4
600066.ss,宇通客车,0.09,300可选,6
600085.ss,同仁堂,0.09,300医药,10
600236.ss,桂冠电力,0.09,300公用,4
600251.ss,冠农股份,0.09,300消费,8
600418.ss,江淮汽车,0.09,300可选,6
600569.ss,安阳钢铁,0.09,300材料,1
600588.ss,用友软件,0.09,300信息,9
600970.ss,中材国际,0.09,300工业,3
000059.sz,辽通化工,0.1,300材料,1
000089.sz,深圳机场,0.1,300工业,3
000301.sz,东方市场,0.1,300公用,4
000900.sz,现代投资,0.1,300工业,3
000917.sz,电广传媒,0.1,300可选,6
002122.sz,天马股份,0.1,300工业,3
600110.ss,中科英华,0.1,300工业,3
600117.ss,西宁特钢,0.1,300材料,1
600169.ss,太原重工,0.1,300工业,3
600426.ss,华鲁恒升,0.1,300材料,1
600456.ss,宝钛股份,0.1,300材料,1
600582.ss,天地科技,0.1,300工业,3
600718.ss,东软集团,0.1,300信息,9
600804.ss,鹏博士,0.1,300电信,2
600835.ss,上海机电,0.1,300工业,3
000625.sz,长安汽车,0.11,300可选,6
000807.sz,云铝股份,0.11,300材料,1
000969.sz,安泰科技,0.11,300材料,1
002028.sz,思源电气,0.11,300工业,3
002155.sz,辰州矿业,0.11,300材料,1
600008.ss,首创股份,0.11,300公用,4
600125.ss,铁龙物流,0.11,300工业,3
600210.ss,紫江企业,0.11,300材料,1
600219.ss,南山铝业,0.11,300材料,1
600271.ss,航天信息,0.11,300信息,9
600307.ss,酒钢宏兴,0.11,300材料,1
600779.ss,水井坊,0.11,300消费,8
600816.ss,安信信托,0.11,300金融,5
600879.ss,火箭股份,0.11,300工业,3
601991.ss,大唐发电,0.11,300公用,4
000012.sz,南 玻Ａ,0.12,300材料,1
000422.sz,湖北宜化,0.12,300材料,1
000690.sz,宝新能源,0.12,300公用,4
000717.sz,韶钢松山,0.12,300材料,1
000728.sz,国元证券,0.12,300金融,5
000758.sz,中色股份,0.12,300材料,1
000778.sz,新兴铸管,0.12,300材料,1
000999.sz,S 三 九,0.12,300医药,10
002128.sz,露天煤业,0.12,300能源,7
600022.ss,济南钢铁,0.12,300材料,1
600143.ss,金发科技,0.12,300材料,1
600158.ss,中体产业,0.12,300金融,5
600170.ss,上海建工,0.12,300工业,3
600508.ss,上海能源,0.12,300能源,7
600737.ss,中粮屯河,0.12,300消费,8
600820.ss,隧道股份,0.12,300工业,3
600859.ss,王府井,0.12,300可选,6
601727.ss,上海电气,0.12,300工业,3
601918.ss,国投新集,0.12,300能源,7
000401.sz,冀东水泥,0.13,300材料,1
000528.sz,柳 工,0.13,300工业,3
000680.sz,山推股份,0.13,300工业,3
000968.sz,煤 气 化,0.13,300能源,7
600132.ss,重庆啤酒,0.13,300消费,8
600216.ss,浙江医药,0.13,300医药,10
600269.ss,赣粤高速,0.13,300工业,3
600352.ss,浙江龙盛,0.13,300材料,1
600638.ss,新黄浦,0.13,300金融,5
600653.ss,申华控股,0.13,300可选,6
600886.ss,国投电力,0.13,300公用,4
000423.sz,东阿阿胶,0.14,300医药,10
000488.sz,晨鸣纸业,0.14,300材料,1
000725.sz,京东方Ａ,0.14,300信息,9
000729.sz,燕京啤酒,0.14,300消费,8
000960.sz,锡业股份,0.14,300材料,1
600037.ss,歌华有线,0.14,300可选,6
600096.ss,云天化,0.14,300材料,1
600108.ss,亚盛集团,0.14,300消费,8
600256.ss,广汇股份,0.14,300工业,3
600266.ss,北京城建,0.14,300金融,5
600428.ss,中远航运,0.14,300工业,3
600600.ss,青岛啤酒,0.14,300消费,8
600674.ss,川投能源,0.14,300公用,4
600812.ss,华北制药,0.14,300医药,10
600839.ss,四川长虹,0.14,300可选,6
000027.sz,深圳能源,0.15,300公用,4
000538.sz,云南白药,0.15,300医药,10
000667.sz,名流置业,0.15,300金融,5
000718.sz,苏宁环球,0.15,300金融,5
000897.sz,津滨发展,0.15,300金融,5
000959.sz,首钢股份,0.15,300材料,1
600058.ss,五矿发展,0.15,300工业,3
600109.ss,国金证券,0.15,300金融,5
600220.ss,江苏阳光,0.15,300可选,6
600497.ss,驰宏锌锗,0.15,300材料,1
600596.ss,新安股份,0.15,300材料,1
600601.ss,方正科技,0.15,300信息,9
000652.sz,泰达股份,0.16,300工业,3
600500.ss,中化国际,0.16,300工业,3
600660.ss,福耀玻璃,0.16,300可选,6
600688.ss,S上石化,0.16,300能源,7
601872.ss,招商轮船,0.16,300工业,3
000039.sz,中集集团,0.17,300材料,1
600026.ss,中海发展,0.17,300工业,3
600432.ss,吉恩镍业,0.17,300材料,1
600611.ss,大众交通,0.17,300工业,3
600694.ss,大商股份,0.17,300可选,6
600748.ss,上实发展,0.17,300金融,5
000046.sz,泛海建设,0.18,300金融,5
000100.sz,TCL 集团,0.18,300可选,6
000686.sz,东北证券,0.18,300金融,5
000932.sz,华菱管线,0.18,300材料,1
600150.ss,中国船舶,0.18,300工业,3
600188.ss,兖州煤业,0.18,300能源,7
600598.ss,北大荒,0.18,300消费,8
600741.ss,巴士股份,0.18,300可选,6
600811.ss,东方集团,0.18,300可选,6
600111.ss,包钢稀土,0.19,300材料,1
600331.ss,宏达股份,0.19,300材料,1
600518.ss,康美药业,0.19,300医药,10
601808.ss,中海油服,0.19,300能源,7
000895.sz,双汇发展,0.2,300消费,8
600029.ss,南方航空,0.2,300工业,3
600068.ss,葛洲坝,0.2,300工业,3
600153.ss,建发股份,0.2,300工业,3
600196.ss,复星医药,0.2,300医药,10
600395.ss,盘江股份,0.2,300能源,7
600528.ss,中铁二局,0.2,300工业,3
600663.ss,陆家嘴,0.2,300金融,5
600690.ss,青岛海尔,0.2,300可选,6
600717.ss,天津港,0.2,300工业,3
601866.ss,中海集运,0.2,300工业,3
000031.sz,中粮地产,0.21,300金融,5
000933.sz,神火股份,0.21,300材料,1
600010.ss,包钢股份,0.21,300材料,1
600276.ss,恒瑞医药,0.21,300医药,10
600643.ss,爱建股份,0.21,300金融,5
600664.ss,哈药股份,0.21,300医药,10
601588.ss,北辰实业,0.21,300金融,5
000338.sz,潍柴动力,0.22,300工业,3
600100.ss,同方股份,0.22,300信息,9
600208.ss,新湖中宝,0.22,300金融,5
600655.ss,豫园商城,0.22,300可选,6
600875.ss,东方电气,0.22,300工业,3
601111.ss,中国国航,0.22,300工业,3
000009.sz,中国宝安,0.23,300金融,5
000425.sz,徐工科技,0.24,300工业,3
600895.ss,张江高科,0.24,300金融,5
000630.sz,铜都铜业,0.25,300材料,1
000800.sz,一汽轿车,0.25,300可选,6
600808.ss,马钢股份,0.25,300材料,1
000768.sz,西飞国际,0.26,300工业,3
600123.ss,兰花科创,0.26,300能源,7
600309.ss,烟台万华,0.26,300材料,1
600997.ss,开滦股份,0.26,300能源,7
601001.ss,大同煤业,0.26,300能源,7
000878.sz,云南铜业,0.27,300材料,1
600415.ss,小商品城,0.27,300可选,6
600675.ss,中华企业,0.27,300金融,5
601333.ss,广深铁路,0.28,300工业,3
601998.ss,中信银行,0.28,300金融,5
000060.sz,中金岭南,0.29,300材料,1
000157.sz,中联重科,0.29,300工业,3
000709.sz,唐钢股份,0.29,300材料,1
000839.sz,中信国安,0.29,300可选,6
600009.ss,上海机场,0.29,300工业,3
600583.ss,海油工程,0.29,300能源,7
600635.ss,大众公用,0.29,300公用,4
600642.ss,申能股份,0.29,300公用,4
600348.ss,国阳新能,0.3,300能源,7
600881.ss,亚泰集团,0.3,300材料,1
601958.ss,金钼股份,0.3,300材料,1
000937.sz,金牛能源,0.31,300能源,7
002142.sz,宁波银行,0.31,300金融,5
600325.ss,华发股份,0.31,300金融,5
600362.ss,江西铜业,0.31,300材料,1
600649.ss,城投控股,0.31,300公用,4
600177.ss,雅戈尔,0.32,300可选,6
600031.ss,三一重工,0.34,300工业,3
600832.ss,东方明珠,0.34,300可选,6
600795.ss,国电电力,0.37,300公用,4
601699.ss,潞安环能,0.37,300能源,7
600550.ss,天威保变,0.38,300工业,3
000568.sz,泸州老窖,0.39,300消费,8
000629.sz,攀钢钢钒,0.4,300材料,1
601766.ss,中国南车,0.4,300工业,3
000783.sz,长江证券,0.41,300金融,5
600104.ss,上海汽车,0.41,300可选,6
600011.ss,华能国际,0.42,300公用,4
600585.ss,海螺水泥,0.42,300材料,1
600547.ss,山东黄金,0.43,300材料,1
601666.ss,平煤股份,0.43,300能源,7
601899.ss,紫金矿业,0.43,300材料,1
600018.ss,上港集团,0.46,300工业,3
601009.ss,南京银行,0.46,300金融,5
601898.ss,中煤能源,0.47,300能源,7
000792.sz,盐湖钾肥,0.48,300材料,1
000825.sz,太钢不锈,0.48,300材料,1
600489.ss,中金黄金,0.48,300材料,1
601600.ss,中国铝业,0.48,300材料,1
000024.sz,招商地产,0.49,300金融,5
000063.sz,中兴通讯,0.49,300电信,2
600015.ss,华夏银行,0.49,300金融,5
601168.ss,西部矿业,0.49,300材料,1
002202.sz,金风科技,0.5,300工业,3
600005.ss,武钢股份,0.51,300材料,1
600089.ss,特变电工,0.51,300工业,3
000623.sz,吉林敖东,0.52,300医药,10
000651.sz,格力电器,0.52,300可选,6
000898.sz,鞍钢股份,0.52,300材料,1
000402.sz,金 融 街,0.55,300金融,5
601988.ss,中国银行,0.59,300金融,5
601186.ss,中国铁建,0.61,300工业,3
600739.ss,辽宁成大,0.63,300工业,3
601919.ss,中国远洋,0.64,300工业,3
601390.ss,中国中铁,0.67,300工业,3
000858.sz,五 粮 液,0.75,300消费,8
000069.sz,华侨城Ａ,0.76,300可选,6
600383.ss,金地集团,0.76,300金融,5
000983.sz,西山煤电,0.78,300能源,7
600019.ss,宝钢股份,0.79,300材料,1
601006.ss,大秦铁路,0.79,300工业,3
002024.sz,苏宁电器,0.82,300可选,6
601628.ss,中国人寿,0.84,300金融,5
600048.ss,保利地产,0.9,300金融,5
600028.ss,中国石化,0.94,300能源,7
600900.ss,长江电力,1.02,300公用,4
600519.ss,贵州茅台,1.04,300消费,8
601857.ss,中国石油,1.09,300能源,7
601939.ss,建设银行,1.13,300金融,5
600050.ss,中国联通,1.16,300电信,2
601169.ss,北京银行,1.4,300金融,5
000001.sz,S深发展A,1.42,300金融,5
600837.ss,海通证券,1.43,300金融,5
601601.ss,中国太保,1.45,300金融,5
601398.ss,工商银行,1.55,300金融,5
601088.ss,中国神华,2.11,300能源,7
601166.ss,兴业银行,2.62,300金融,5
000002.sz,万 科Ａ,2.67,300金融,5
600000.ss,浦发银行,2.69,300金融,5
600030.ss,中信证券,2.8,300金融,5
600016.ss,民生银行,2.89,300金融,5
601318.ss,中国平安,3.07,300金融,5
601328.ss,交通银行,3.49,300金融,5
600036.ss,招商银行,3.94,300金融,5
